,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
304,1002.5493166395163,69.40820032580497,6489.035996892461,7400.350340842393,8417.613218276709,9545.586291889189,0.0,0.0,2129.2573657627254,2185.6087040512907,2155.6464415746286,1994.0205723270783,0.0,0.0
305,1002.5562602361534,69.3248771661587,6482.159888649523,7395.278358035844,8414.875161514285,9545.746032375708,0.0,0.0,2127.6112107002996,2185.0773668661955,2156.1848973517535,1995.3297272609461,0.0,0.0
306,1002.5631954971415,69.24165403430315,6475.302463464735,7390.220762439578,8412.14788987106,9545.913794550188,0.0,0.0,2125.9529879599495,2184.532697269941,2156.711061820098,1996.6299954711335,0.0,0.0
307,1002.570122432487,69.15853081015698,6468.463647647693,7385.177499613285,8409.43136626036,9546.089557410718,0.0,0.0,2124.282819293817,2183.974789701598,2157.224996312105,1997.92140658176,0.0,0.0
308,1002.5770410521849,69.07550737378297,6461.643367882197,7380.148515371454,8406.725553746746,9546.27330002401,0.0,0.0,2122.6008255921024,2183.403738066012,2157.7267618911683,1999.2039901212909,0.0,0.0
309,1002.5839513662178,68.99258360538786,6454.841551185559,7375.133755764061,8404.030415538735,9546.465001523502,0.0,0.0,2120.9071269861106,2182.819635773293,2158.2164193635085,2000.4777755249588,0.0,0.0
310,1002.5908533845566,68.90975938532216,6448.058124942091,7370.133167091902,8401.345914994241,9546.664641110647,0.0,0.0,2119.2018427636544,2182.2225757078318,2158.6940292694608,2001.7427921331632,0.0,0.0
311,1002.5977471171601,68.82703459408009,6441.2930169309475,7365.146695919275,8398.672015625067,9546.872198055928,0.0,0.0,2117.485091298734,2181.6126502026764,2159.159651876332,2002.9990691901785,0.0,0.0
312,1002.6046325739751,68.74440911229931,6434.546155295879,7360.174289059556,8396.008681091414,9547.087651697424,0.0,0.0,2115.7569901281595,2180.9899510690893,2159.6133471873704,2004.2466358460065,0.0,0.0
313,1002.6115097649367,68.66188282076081,6427.817468543147,7355.215893573919,8393.35587520122,9547.310981440573,0.0,0.0,2114.0176559569218,2180.354569599348,2160.0551749429214,2005.4855211567024,0.0,0.0
